,Performer,IAFD Link,Career scene #
342,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
343,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
344,Unknown Female 919314,"<a href=""https://www.iafd.com/person.rme/id=9f83d1c8-fa4c-4c4b-89bc-de6a8aed735b"" target=""_blank"">https://www.iafd.com/person.rme/id=9f83d1c8-fa4c-4c4b-89bc-de6a8aed735b</a>",5
345,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
346,Madalynn Moon,"<a href=""https://www.iafd.com/person.rme/id=a40b6fce-2883-49f1-9894-87c84e5f43d3"" target=""_blank"">https://www.iafd.com/person.rme/id=a40b6fce-2883-49f1-9894-87c84e5f43d3</a>",2
347,Vaccinated Vandal,"<a href=""https://www.iafd.com/person.rme/id=f5305ffb-070c-4986-af35-6b06b492e9d7"" target=""_blank"">https://www.iafd.com/person.rme/id=f5305ffb-070c-4986-af35-6b06b492e9d7</a>",61
348,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
349,Jordain Sue,"<a href=""https://www.iafd.com/person.rme/id=6f24f9ac-7d6c-43c9-ae9f-184462d149d9"" target=""_blank"">https://www.iafd.com/person.rme/id=6f24f9ac-7d6c-43c9-ae9f-184462d149d9</a>",1
350,Vaccinated Vandal,"<a href=""https://www.iafd.com/person.rme/id=f5305ffb-070c-4986-af35-6b06b492e9d7"" target=""_blank"">https://www.iafd.com/person.rme/id=f5305ffb-070c-4986-af35-6b06b492e9d7</a>",61
351,Unknown Female 919322,"<a href=""https://www.iafd.com/person.rme/id=538758ea-a5a2-4ba6-b71c-ace1444c3363"" target=""_blank"">https://www.iafd.com/person.rme/id=538758ea-a5a2-4ba6-b71c-ace1444c3363</a>",1
352,Ray Black,"<a href=""https://www.iafd.com/person.rme/id=4c79317c-1a05-49e8-ae03-67bae1a672fd"" target=""_blank"">https://www.iafd.com/person.rme/id=4c79317c-1a05-49e8-ae03-67bae1a672fd</a>",327
353,Rory Knox,"<a href=""https://www.iafd.com/person.rme/id=47ff7a0a-60fb-4cb9-bd8c-cfaf81aac7ea"" target=""_blank"">https://www.iafd.com/person.rme/id=47ff7a0a-60fb-4cb9-bd8c-cfaf81aac7ea</a>",153
354,Mina Trophy,"<a href=""https://www.iafd.com/person.rme/id=4050861b-881e-441f-bf0c-cd34fc9a26ea"" target=""_blank"">https://www.iafd.com/person.rme/id=4050861b-881e-441f-bf0c-cd34fc9a26ea</a>",2
355,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
356,Monica Roxxxane,"<a href=""https://www.iafd.com/person.rme/id=4095cc0d-062b-459f-8f6b-7e6d0654c760"" target=""_blank"">https://www.iafd.com/person.rme/id=4095cc0d-062b-459f-8f6b-7e6d0654c760</a>",3
357,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
358,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
359,Riley Grey,"<a href=""https://www.iafd.com/person.rme/id=0f545c57-9a78-4840-9f7f-706799042d26"" target=""_blank"">https://www.iafd.com/person.rme/id=0f545c57-9a78-4840-9f7f-706799042d26</a>",11
360,Mandy Meadows,"<a href=""https://www.iafd.com/person.rme/id=8ad72410-b429-4037-b2a2-d646928e9e5d"" target=""_blank"">https://www.iafd.com/person.rme/id=8ad72410-b429-4037-b2a2-d646928e9e5d</a>",31
361,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
362,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
363,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
364,Salee Lee,"<a href=""https://www.iafd.com/person.rme/id=480ea14f-ea85-4c86-8305-01dac78c06b5"" target=""_blank"">https://www.iafd.com/person.rme/id=480ea14f-ea85-4c86-8305-01dac78c06b5</a>",19
365,Remy Darling,"<a href=""https://www.iafd.com/person.rme/id=a47240ce-d861-4373-be24-b92dde7e287b"" target=""_blank"">https://www.iafd.com/person.rme/id=a47240ce-d861-4373-be24-b92dde7e287b</a>",3
366,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
367,Leigh Raven,"<a href=""https://www.iafd.com/person.rme/id=820933cc-83ac-41f9-8ac5-2d8ced20a423"" target=""_blank"">https://www.iafd.com/person.rme/id=820933cc-83ac-41f9-8ac5-2d8ced20a423</a>",239
368,Rico Strong,"<a href=""https://www.iafd.com/person.rme/id=5f757ad0-04c5-4683-8712-53395d44fe88"" target=""_blank"">https://www.iafd.com/person.rme/id=5f757ad0-04c5-4683-8712-53395d44fe88</a>",1891
369,Alli Black,"<a href=""https://www.iafd.com/person.rme/id=481d09d0-393c-4d3d-93ba-bf3350db38d1"" target=""_blank"">https://www.iafd.com/person.rme/id=481d09d0-393c-4d3d-93ba-bf3350db38d1</a>",11
370,Rome Major,"<a href=""https://www.iafd.com/person.rme/id=e1a857ba-e3ad-494e-869e-7246e7da7189"" target=""_blank"">https://www.iafd.com/person.rme/id=e1a857ba-e3ad-494e-869e-7246e7da7189</a>",513
371,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
372,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
373,Kali Danes,"<a href=""https://www.iafd.com/person.rme/id=8f3ae558-52be-4211-b879-25e9bfc19bb2"" target=""_blank"">https://www.iafd.com/person.rme/id=8f3ae558-52be-4211-b879-25e9bfc19bb2</a>",22
374,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
375,Magenta Lexx,"<a href=""https://www.iafd.com/person.rme/id=f453d227-9f87-41fa-ae41-92b5846dbc9a"" target=""_blank"">https://www.iafd.com/person.rme/id=f453d227-9f87-41fa-ae41-92b5846dbc9a</a>",12
376,Vaccinated Vandal,"<a href=""https://www.iafd.com/person.rme/id=f5305ffb-070c-4986-af35-6b06b492e9d7"" target=""_blank"">https://www.iafd.com/person.rme/id=f5305ffb-070c-4986-af35-6b06b492e9d7</a>",61
377,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
378,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
379,Lola La Loca,"<a href=""https://www.iafd.com/person.rme/id=279f1a6c-707d-4d3f-9b20-b2cac9613604"" target=""_blank"">https://www.iafd.com/person.rme/id=279f1a6c-707d-4d3f-9b20-b2cac9613604</a>",2
380,Briston Moreau,"<a href=""https://www.iafd.com/person.rme/id=a16bbe44-6f27-43d7-a4fb-badf98b7f9fd"" target=""_blank"">https://www.iafd.com/person.rme/id=a16bbe44-6f27-43d7-a4fb-badf98b7f9fd</a>",6
381,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
382,Kadia Leigh,"<a href=""https://www.iafd.com/person.rme/id=8cdc0e97-f040-436a-9b8c-b1a943615687"" target=""_blank"">https://www.iafd.com/person.rme/id=8cdc0e97-f040-436a-9b8c-b1a943615687</a>",3
383,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
384,Ella Hanson,"<a href=""https://www.iafd.com/person.rme/id=ab146df6-a0b9-49e9-9b5e-169183f11d89"" target=""_blank"">https://www.iafd.com/person.rme/id=ab146df6-a0b9-49e9-9b5e-169183f11d89</a>",7
385,Vaccinated Vandal,"<a href=""https://www.iafd.com/person.rme/id=f5305ffb-070c-4986-af35-6b06b492e9d7"" target=""_blank"">https://www.iafd.com/person.rme/id=f5305ffb-070c-4986-af35-6b06b492e9d7</a>",61
386,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
387,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
388,Jo Dickenmi,"<a href=""https://www.iafd.com/person.rme/id=a7dcc649-47b4-4385-870b-56751d156143"" target=""_blank"">https://www.iafd.com/person.rme/id=a7dcc649-47b4-4385-870b-56751d156143</a>",1
389,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
390,Nova Rae,"<a href=""https://www.iafd.com/person.rme/id=702f9450-1cbe-4b18-9549-c68f7729dbc8"" target=""_blank"">https://www.iafd.com/person.rme/id=702f9450-1cbe-4b18-9549-c68f7729dbc8</a>",14
391,Vaccinated Vandal,"<a href=""https://www.iafd.com/person.rme/id=f5305ffb-070c-4986-af35-6b06b492e9d7"" target=""_blank"">https://www.iafd.com/person.rme/id=f5305ffb-070c-4986-af35-6b06b492e9d7</a>",61
392,Bianca Lynn,"<a href=""https://www.iafd.com/person.rme/id=ac50d381-aaa4-4519-a593-51275743be1c"" target=""_blank"">https://www.iafd.com/person.rme/id=ac50d381-aaa4-4519-a593-51275743be1c</a>",1
393,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
394,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
395,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
396,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
397,Nova Blaidd,"<a href=""https://www.iafd.com/person.rme/id=e636a996-40a7-4c9f-a3d1-70c6042015cf"" target=""_blank"">https://www.iafd.com/person.rme/id=e636a996-40a7-4c9f-a3d1-70c6042015cf</a>",7
398,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
399,Crimson Sky,"<a href=""https://www.iafd.com/person.rme/id=5249f8ff-f1e6-40b9-868c-72de3b4d1ec0"" target=""_blank"">https://www.iafd.com/person.rme/id=5249f8ff-f1e6-40b9-868c-72de3b4d1ec0</a>",5
400,Kimmy Charms,"<a href=""https://www.iafd.com/person.rme/id=c5e51c0c-3f73-4086-bde2-796d8a5b9fdd"" target=""_blank"">https://www.iafd.com/person.rme/id=c5e51c0c-3f73-4086-bde2-796d8a5b9fdd</a>",6
401,Zoey Foxx,"<a href=""https://www.iafd.com/person.rme/id=50852ac7-eecd-4cfa-a540-a932bfe26f9c"" target=""_blank"">https://www.iafd.com/person.rme/id=50852ac7-eecd-4cfa-a540-a932bfe26f9c</a>",202
402,Amelia Dire,"<a href=""https://www.iafd.com/person.rme/id=bb99a6a6-b4c3-470f-9b41-849e8e46ae94"" target=""_blank"">https://www.iafd.com/person.rme/id=bb99a6a6-b4c3-470f-9b41-849e8e46ae94</a>",31
403,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
404,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
405,Ava Rose,"<a href=""https://www.iafd.com/person.rme/id=6fb6f971-2a1a-45d0-afcb-7b4543d9f052"" target=""_blank"">https://www.iafd.com/person.rme/id=6fb6f971-2a1a-45d0-afcb-7b4543d9f052</a>",1
406,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
407,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
408,Bobbi Dylan,"<a href=""https://www.iafd.com/person.rme/id=fff795f7-71e4-4c92-a9a9-3702f0d23bba"" target=""_blank"">https://www.iafd.com/person.rme/id=fff795f7-71e4-4c92-a9a9-3702f0d23bba</a>",187
409,Prince Yahshua,"<a href=""https://www.iafd.com/person.rme/id=bb3c23b4-dc50-4b7a-b810-07b880a33f51"" target=""_blank"">https://www.iafd.com/person.rme/id=bb3c23b4-dc50-4b7a-b810-07b880a33f51</a>",2489
410,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
411,Nadia White,"<a href=""https://www.iafd.com/person.rme/id=82cbf0de-9811-4d43-a571-0d53e0c516a1"" target=""_blank"">https://www.iafd.com/person.rme/id=82cbf0de-9811-4d43-a571-0d53e0c516a1</a>",263
412,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
413,Unknown Female 919317,"<a href=""https://www.iafd.com/person.rme/id=c652bbbf-d71a-458b-b49c-047ac081f4e3"" target=""_blank"">https://www.iafd.com/person.rme/id=c652bbbf-d71a-458b-b49c-047ac081f4e3</a>",1
414,Jada Rose,"<a href=""https://www.iafd.com/person.rme/id=1c3347db-0524-4743-b5fd-d1aca9a54c2b"" target=""_blank"">https://www.iafd.com/person.rme/id=1c3347db-0524-4743-b5fd-d1aca9a54c2b</a>",2
415,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
416,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
417,Shelby Paris,"<a href=""https://www.iafd.com/person.rme/id=13149e67-c3d4-4b5a-baca-ad01b310111f"" target=""_blank"">https://www.iafd.com/person.rme/id=13149e67-c3d4-4b5a-baca-ad01b310111f</a>",103
418,Unknown Male 734054,"<a href=""https://www.iafd.com/person.rme/id=827039d6-28e9-4439-9114-915312286a27"" target=""_blank"">https://www.iafd.com/person.rme/id=827039d6-28e9-4439-9114-915312286a27</a>",1
419,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
420,Bruno Dickems,"<a href=""https://www.iafd.com/person.rme/id=ffc89971-8f82-4f5c-866d-479664c4b657"" target=""_blank"">https://www.iafd.com/person.rme/id=ffc89971-8f82-4f5c-866d-479664c4b657</a>",1028
421,Julz Gotti,"<a href=""https://www.iafd.com/person.rme/id=14f72ebe-8578-4c7c-949e-7b35e1d2f953"" target=""_blank"">https://www.iafd.com/person.rme/id=14f72ebe-8578-4c7c-949e-7b35e1d2f953</a>",62
422,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
423,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
424,Tara Knox,"<a href=""https://www.iafd.com/person.rme/id=09ef064b-5458-437c-86f0-c7f130b2578b"" target=""_blank"">https://www.iafd.com/person.rme/id=09ef064b-5458-437c-86f0-c7f130b2578b</a>",4
425,Casey Ballerini,"<a href=""https://www.iafd.com/person.rme/id=83690eaa-771d-4140-9196-7abc77048fd8"" target=""_blank"">https://www.iafd.com/person.rme/id=83690eaa-771d-4140-9196-7abc77048fd8</a>",33
426,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
427,Cherry,"<a href=""https://www.iafd.com/person.rme/id=6a3062f8-5e27-4a8f-85e3-745136b4d199"" target=""_blank"">https://www.iafd.com/person.rme/id=6a3062f8-5e27-4a8f-85e3-745136b4d199</a>",3
428,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
429,Emmy Lex,"<a href=""https://www.iafd.com/person.rme/id=1225f854-dd51-4593-89ff-327d5b6911d2"" target=""_blank"">https://www.iafd.com/person.rme/id=1225f854-dd51-4593-89ff-327d5b6911d2</a>",2
430,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
431,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
432,Velvet Vyper,"<a href=""https://www.iafd.com/person.rme/id=a0e2cf37-ca0e-4e27-a737-bbba3486c699"" target=""_blank"">https://www.iafd.com/person.rme/id=a0e2cf37-ca0e-4e27-a737-bbba3486c699</a>",4
433,Halle Hayes,"<a href=""https://www.iafd.com/person.rme/id=e5899291-1cd3-420c-b379-74bfd37c4309"" target=""_blank"">https://www.iafd.com/person.rme/id=e5899291-1cd3-420c-b379-74bfd37c4309</a>",80
434,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
435,Amara Romani,"<a href=""https://www.iafd.com/person.rme/id=f21874b5-4358-4ba7-af75-23b73debe6ed"" target=""_blank"">https://www.iafd.com/person.rme/id=f21874b5-4358-4ba7-af75-23b73debe6ed</a>",296
436,Rico Strong,"<a href=""https://www.iafd.com/person.rme/id=5f757ad0-04c5-4683-8712-53395d44fe88"" target=""_blank"">https://www.iafd.com/person.rme/id=5f757ad0-04c5-4683-8712-53395d44fe88</a>",1891
437,Della Dane,"<a href=""https://www.iafd.com/person.rme/id=121157a8-5669-4641-91ca-ccb3f2f6f02a"" target=""_blank"">https://www.iafd.com/person.rme/id=121157a8-5669-4641-91ca-ccb3f2f6f02a</a>",77
438,Mr. Pete,"<a href=""https://www.iafd.com/person.rme/id=c6fca2b5-7ccd-4f53-84ba-38898300625e"" target=""_blank"">https://www.iafd.com/person.rme/id=c6fca2b5-7ccd-4f53-84ba-38898300625e</a>",3807
439,Steve Holmes,"<a href=""https://www.iafd.com/person.rme/id=073e8752-809e-44db-80ae-b77064dca9b7"" target=""_blank"">https://www.iafd.com/person.rme/id=073e8752-809e-44db-80ae-b77064dca9b7</a>",2922
440,Unknown Female 840734,"<a href=""https://www.iafd.com/person.rme/id=070c73f9-3d16-4721-869b-8f613d734acd"" target=""_blank"">https://www.iafd.com/person.rme/id=070c73f9-3d16-4721-869b-8f613d734acd</a>",1
441,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
442,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
443,Sky Blu,"<a href=""https://www.iafd.com/person.rme/id=d79ad5ff-22c6-47ec-9627-74898afdc547"" target=""_blank"">https://www.iafd.com/person.rme/id=d79ad5ff-22c6-47ec-9627-74898afdc547</a>",2
444,Unknown Female 919336,"<a href=""https://www.iafd.com/person.rme/id=b9c9dd2e-f1b0-4f39-a67a-3e7c6d23bd8c"" target=""_blank"">https://www.iafd.com/person.rme/id=b9c9dd2e-f1b0-4f39-a67a-3e7c6d23bd8c</a>",1
445,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
446,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
447,Salee Lee,"<a href=""https://www.iafd.com/person.rme/id=480ea14f-ea85-4c86-8305-01dac78c06b5"" target=""_blank"">https://www.iafd.com/person.rme/id=480ea14f-ea85-4c86-8305-01dac78c06b5</a>",19
448,Amara Romani,"<a href=""https://www.iafd.com/person.rme/id=f21874b5-4358-4ba7-af75-23b73debe6ed"" target=""_blank"">https://www.iafd.com/person.rme/id=f21874b5-4358-4ba7-af75-23b73debe6ed</a>",296
449,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
450,Vaccinated Vandal,"<a href=""https://www.iafd.com/person.rme/id=f5305ffb-070c-4986-af35-6b06b492e9d7"" target=""_blank"">https://www.iafd.com/person.rme/id=f5305ffb-070c-4986-af35-6b06b492e9d7</a>",61
451,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
452,Duke Skywalker,"<a href=""https://www.iafd.com/person.rme/id=ff1c172a-9beb-448e-863e-9725ada74b73"" target=""_blank"">https://www.iafd.com/person.rme/id=ff1c172a-9beb-448e-863e-9725ada74b73</a>",172
453,Kardawg,"<a href=""https://www.iafd.com/person.rme/id=586bb3dc-cb20-4909-93a0-6280d581fed7"" target=""_blank"">https://www.iafd.com/person.rme/id=586bb3dc-cb20-4909-93a0-6280d581fed7</a>",20
454,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
455,Duke Skywalker,"<a href=""https://www.iafd.com/person.rme/id=ff1c172a-9beb-448e-863e-9725ada74b73"" target=""_blank"">https://www.iafd.com/person.rme/id=ff1c172a-9beb-448e-863e-9725ada74b73</a>",172
456,Shanice Luv,"<a href=""https://www.iafd.com/person.rme/id=48938324-1895-4090-9b71-39489a903260"" target=""_blank"">https://www.iafd.com/person.rme/id=48938324-1895-4090-9b71-39489a903260</a>",18
457,Aderes Quin,"<a href=""https://www.iafd.com/person.rme/id=c0c52d94-6090-40b6-b18f-2873651b08c1"" target=""_blank"">https://www.iafd.com/person.rme/id=c0c52d94-6090-40b6-b18f-2873651b08c1</a>",53
458,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
459,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
460,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
461,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
