,Title,Doorway,Year,Link,Synopsis
640,Facial Abuse: Layla Price 2,facialabuse.com,2014,"<a href=""https://www.iafd.com/title.rme/id=55b81971-990b-412d-91dd-0e061f2ce679"" target=""_blank"">https://www.iafd.com/title.rme/id=55b81971-990b-412d-91dd-0e061f2ce679</a>","Making a triumphant return is the amazing, Layla Price and her big booty butt hole. The first time she was here, she was paired up with Pauly Harker. This time, she's pitted against that twisted fuck, Gio. Gio used his cock with precision getting right to her throat's sweet spot. Lots and lots of stomach goo propelled from her porn star belly and onto our mat. The action was relentless... the humiliation was beautiful. It's not everyday you see a box cover porn star mop up her own slop with her hair and then ring it out in the infamous dog bowl... and that's only the first half. The next half featured some sick anal... hard and fast. Gio split her asshole in town with his meat. The gapes on this pig are incredible... wide as fuck!!! Hands down, this scene is a winner. You have to see it to believe. It's better when the pretty girls are nasty!"
641,Facial Abuse: Leeloo,facialabuse.com,2012,"<a href=""https://www.iafd.com/title.rme/id=c90ea994-c32f-48d6-8a63-fd85542cedd6"" target=""_blank"">https://www.iafd.com/title.rme/id=c90ea994-c32f-48d6-8a63-fd85542cedd6</a>","Leeloo is a cute emo chick. She's the type of girl that you can hang out and have a few laughs with. Unfortunately for her, there were no good times tonight. Her throat was used as a pussy by Pauly and Bootleg at will. Both pumped deep inside her gullet excavating the dinner from her belly she had only hours prior. Barfing all over herself made her sad... sad enough to shed some tears. We all thought that was funny. Leeloo cheered up when it came time to getting her pink stink fucked, though. It turns out this chick really likes sex. She must have a really tight cunt, too, because that box was stealing rubbers off Pauly and Bootleg's cock every chance it had. There was some real thievery going on and her cunt is the culprit. Bottom line... we put together a hot scene with a good bitch. Nice!"
642,Facial Abuse: Leena Sky,facialabuse.com,2012,"<a href=""https://www.iafd.com/title.rme/id=9fc36ce2-08b9-4872-9ff6-e6282081af68"" target=""_blank"">https://www.iafd.com/title.rme/id=9fc36ce2-08b9-4872-9ff6-e6282081af68</a>","This is probably the grossest scene I've ever filmed... and that's thanks to Bootleg, the most vile perverted fuck in the porn biz.  But here's the good news first... Leena Sky is fucking cute.  Plus, she was the easiest whore I've ever worked with.  Here's a recipe for success... take 1 submissive whore with absolutely no limitations and mix in Bootleg and Red... and you have a porno nuclear explosion.  This scene has it all, snot, puke, anal, double penetration, choking, slapping, humiliation... and barf swallowing.  I don't even wanna think about it or I'm going to puke all over my laptop as I watch this.  Trust me, this scene is not for the faint of heart."
643,Facial Abuse: Leighlani Red,facialabuse.com,2008,"<a href=""https://www.iafd.com/title.rme/id=1074ea7d-7e11-41d6-a5a5-7cd075167551"" target=""_blank"">https://www.iafd.com/title.rme/id=1074ea7d-7e11-41d6-a5a5-7cd075167551</a>","Leighlani Red, what more can I say? The stupid whore is even nominated for an AVN Award. When we got her, she still had a tad if innocence still left in her. That was until she so innocently got on her knees and let two cocks pulverise her throat. This is one of our harder scenes and she took it like a champ. Slap after slap, her head would recoil and she kept on suckin' and fuckin' and talkin' like a dyke trucker. She had a shyness to her that made the whoopin all the better and her innocent face was ripe for tons of nut. Four loads oozed down off her face to her cunt as she sat there destroyed."
644,Facial Abuse: Leihla Leionni,facialabuse.com,2010,"<a href=""https://www.iafd.com/title.rme/id=2dbbf31a-77df-4ce1-9a61-19b4e2ffc1bc"" target=""_blank"">https://www.iafd.com/title.rme/id=2dbbf31a-77df-4ce1-9a61-19b4e2ffc1bc</a>","Leihla Leionni is a cute 21 year old from down South. She is under 5 feet tall and has some big ass fun bags. She was really innocent, too. She got on her knees like a little lady and was tentative on the cock at first. A firm palm to the back of her head encouraged her a bit. After awhile she was able to take the cock to the balls and making a mess each time. Then, Big Red and Bootleg went to town on her tight little pussy. She wasn't used to having big cocks in her. She squealed like a hog as the cocks kept slamming into her cervix. After they got tired of what her body had to offer, They sat her down and nutted all over her face. Her cute, innocent face, covered in goo. That old man whore Bootleg really enjoys women half his age."
645,Facial Abuse: Leilani Li,facialabuse.com,2008,"<a href=""https://www.iafd.com/title.rme/id=f1220193-cdaa-4dc1-8375-1bac3650c7e6"" target=""_blank"">https://www.iafd.com/title.rme/id=f1220193-cdaa-4dc1-8375-1bac3650c7e6</a>","Leilani Li is an authentic Asian. So much so that when you fuck her, you are horny again two hours later. This little creature could take a pounding. I was smacking her like I was in a kung fu movie. My hands even made that silly sound too. After her ass was fucked until it was as rubbery as some sushi. Then we nutted massive amounts all over her face."
646,Facial Abuse: Leilani Vega,facialabuse.com,2014,"<a href=""https://www.iafd.com/title.rme/id=c9847c2b-4141-4ed1-8f17-6c081a68776e"" target=""_blank"">https://www.iafd.com/title.rme/id=c9847c2b-4141-4ed1-8f17-6c081a68776e</a>","Leilani Vega is adorable... like too adorable to be sitting on our couch getting the shit slapped out of her adorable. Alas, she's here and we have a job to do. Honestly, I don't care when they're hot like this. In fact, I feel better knowing some soulless cunt who's probably skipped through life is finally getting her just desserts. My goal is to break the spirit of these cheerleader types and knock them down a few pegs. We did so with this Asian twat. Within seconds, she realized that not all porn is created equal and we're on the end of the spectrum... and she would prefer being on the other side. LOL... hard slaps, face spits and cock engulfing put this cunt right in her place. Nothing can compare to the reaction of a hot chick as she barfs all over a hard cock and then has to continue to suck without cleaning. Priceless! The screaming as a 9 inch cock crams it's way into a 5 inch cunt hole. This chick is tiny, but Pauly made it fit. Excellent scene today. Top notch cunt. We mean business."
647,Facial Abuse: Lexi,facialabuse.com,2008,"<a href=""https://www.iafd.com/title.rme/id=97feee2d-b03f-4d0c-96de-cd7b1d9bbb26"" target=""_blank"">https://www.iafd.com/title.rme/id=97feee2d-b03f-4d0c-96de-cd7b1d9bbb26</a>","Lexi is a friend of Zoie's, another whore we shot. They are Jersey girls. They live quite close to me actually. The one thing about Jersey girls is they can take a beating like none other. Where else do you find first timer blonde hair and blue eye girls but here in Jersey! As her face got fucked, and her puffy labia minor got pillaged, she remained steadfast in her craft as being a whore. Even with 99% of her face being covered, and a glimmer of humiliation showing, she hung in there like a good whore. You can take the girl out of Jersey, but you can't take the Jersey out of the girl..."
648,Facial Abuse: Lexi Jaxson,facialabuse.com,2015,"<a href=""https://www.iafd.com/title.rme/id=ce28e39d-fb8e-4df7-9d80-3c71f95a1132"" target=""_blank"">https://www.iafd.com/title.rme/id=ce28e39d-fb8e-4df7-9d80-3c71f95a1132</a>","Lexi Jaxson... a stripper with a little porn experience.  No doubt this girl has even more experience off camera, too... you know what I'm saying.  Here's a girl that understands how to do a job to the best of her ability.  First things first, she's 24, weighs 104 pounds and has a really hot body... perfect tits, nice cunt, little ass.  She looks like the perfect fuck doll.  Her throat stretched to twice it's size to accommodate Pauly's massive meat stick.  Whatever dignity she had, was drained from her belly with each pump.  I love these bitches who don't mind getting messy.  I think we have a winner here.  She's a good bitch worthy of your ball juice."
649,Facial Abuse: Lexi Jaxson 2,facialabuse.com,2015,"<a href=""https://www.iafd.com/title.rme/id=13bd8c81-c2f7-47b3-9947-b712d727c76f"" target=""_blank"">https://www.iafd.com/title.rme/id=13bd8c81-c2f7-47b3-9947-b712d727c76f</a>","Lexi Jaxson is back and we had a special surprise for her. Her first visit proved to be messy. Knowing that, we gave her a little pool to empty her guts into. Believe me, there was a lot of splish splashing around in her gut juice. She has such a good little cunt face that we just kept this one primarily face fucking. Pauly did unload a big jizz bomb all over her head ,though. Great stuff! We just raised the ante, yet again."
650,Facial Abuse: Lexi Jaxson 3,facialabuse.com,2015,"<a href=""https://www.iafd.com/title.rme/id=507a80e7-8cb2-40ed-9598-186f5a650ff4"" target=""_blank"">https://www.iafd.com/title.rme/id=507a80e7-8cb2-40ed-9598-186f5a650ff4</a>","3rd times the charm, right? Lexi Jaxson is back for another round of Face Fucking. I've said it a million times... when a whore returns, we always up the ante. A 3rd time is rare so we really swing for the fences. The good news is that Lexi Jaxson is definitely down for the challenge. She stepped up to the plate and did some pretty fucking gross things... stuff that I probably shouldn't even mention. Bottom line is this... this scene is amazing. Here's a cute girl with an incredible body making a real pig out of herself. For those of you guys that love the filthy side of things, we served up a delicious plate of depravity."
651,Facial Abuse: Lexi Jaxson 4,facialabuse.com,2016,"<a href=""https://www.iafd.com/title.rme/id=50b38108-31e1-4564-8d47-b43c362b36f9"" target=""_blank"">https://www.iafd.com/title.rme/id=50b38108-31e1-4564-8d47-b43c362b36f9</a>","Round 4... that doesn't come often here. In fact, we must really feel that a whore puts in work to bring a bitch back 4 fucking times. Lexi Jaxson is that kind of bitch. She shows up, does whatever the fuck we want... and with a smile. This cunt is built for this. Today, we have a really extra special treat. Today, Lexi Jaxson gives up that little ass in a grand way. First off, this is her first filmed anal... not to mention DP. On top of that, she takes the pipe hard and fast up the crap chute. Her entire adult porno life lead her to this moment and when it finally arrived, she manned up and answered the call. But, of course, it doesn't end there. Lexi is known for doing some of the filthiest acts of depravity we've seen... and this latest scene is no different. In fact, we made it extra gross!"
652,Facial Abuse: Lexi Marie,facialabuse.com,2015,"<a href=""https://www.iafd.com/title.rme/id=64ec1fba-b065-4989-8974-d5ee67c49d39"" target=""_blank"">https://www.iafd.com/title.rme/id=64ec1fba-b065-4989-8974-d5ee67c49d39</a>","Lexi Marie is an Italian whore from the fun state of Florida. Today, she's teaching us words like skank, degenerate and cock pig in her language. Oh, that and getting her world rocked by the Big Red Machine. Red is fluent in two languages... pain and humiliation, and he's giving her a crash course in both. The hard cock is best teacher, and Lexi Marie is being a straight A student. I've never seen shame blanket a whore as quickly as it did with Lexi. Oh well, this is one of those times when you had a choice to either go left or right, and you went straight... right into a dead end. My guess, Lexi will give up her dream of being a porn star after tonight."
653,Facial Abuse: Lil Red,facialabuse.com,2015,"<a href=""https://www.iafd.com/title.rme/id=3b15ddae-ecf2-42bc-acf3-6b9302333d11"" target=""_blank"">https://www.iafd.com/title.rme/id=3b15ddae-ecf2-42bc-acf3-6b9302333d11</a>","Lil Red was, literally, thrown to the wolves tonight. This is her first ever porn video, and with the full support of her father, she didn't want to blow her big chance at stardom. Let me say that again... SHE HAS THE FULL SUPPORT OF HER FATHER. That blew my fucking mind. Why would someone's dad encourage their little princess to gobble huge cocks and get treated like shit? I'll never know. What I do know is Lil Red is troll like and the only thing she really has going for her is her big tits. Aside from that, she looks like a big ball of pizza dough. I will give her props, though. She never had a cock jammed down her throat like this before and she actually did well. If she could drop 40 pounds, tone up and maybe stand outside in the sun for 20 minutes... she may just have a shot at giving her porn fans an erection."
654,Facial Abuse: Lila Rose,facialabuse.com,2014,"<a href=""https://www.iafd.com/title.rme/id=7b8cc317-b2f2-4b1b-a6c2-7a29fe7cb249"" target=""_blank"">https://www.iafd.com/title.rme/id=7b8cc317-b2f2-4b1b-a6c2-7a29fe7cb249</a>","Lila Rose was an orphan. No one loved her her entire life, and surely no one is going to start now. Even at the tender age of 20, you can see her growing up with other undesirables fucked her up mentally. Realizing she's damaged goods, she took the next logical step... porn. You may recognize the name. She's put in work elsewhere. Tonight, though... is where she truly makes her bones. Pauly and Gio stuffed their oversized meat inside her tiny throat hole. Her eyes went wide as the slaps rang across her face. Porn used to be fun. Tonight it was everything but. Tonight, this lost soul was put to the test... and honestly, she fucking rocked the shit out of it!"
655,Facial Abuse: Lilith,facialabuse.com,2011,"<a href=""https://www.iafd.com/title.rme/id=901aba9c-b5f7-4530-8e1d-5e0c54e8909f"" target=""_blank"">https://www.iafd.com/title.rme/id=901aba9c-b5f7-4530-8e1d-5e0c54e8909f</a>","It looks like Lilith Munster taped two markers together to do her eyebrows. Fortunately, that is all about wrong with this hog. She was cute, submissive, big titties, and just a good all around fuck doll attitude. Meaning she knew her role and kept her hole closed. Nothing worse than a woman with opinions. Bitch, I will tell you what to think, my opinion is your opinion. Sometimes it's like trying to train an alley cat. Turning some feral whore into a lady. by teaching them manners, and that they won't find their fathers love, in the stomach of some gentlemen. Keep on searching, whore. You have been enlightened. This pudgy princess went through the course of virtue. Passed go and received her Whore Card... Look Daddy I'm a Pro-Hoe!"
656,Facial Abuse: Lillian Tesh,facialabuse.com,2012,"<a href=""https://www.iafd.com/title.rme/id=6bcac9d7-8f36-440d-8606-5dffc1afa75e"" target=""_blank"">https://www.iafd.com/title.rme/id=6bcac9d7-8f36-440d-8606-5dffc1afa75e</a>","Lillian Tesh is an old broad.  She's 51 years old.  However, she's in peak physical shape.  In fact, her body and work ethic puts to shame any 18-23 year old I've shot in the last year.  This granny is a work horse.  Hands down, this scene is amazing.  It has everything you've come to love in a FaceFucking.com scene... and we're breaking new ground destroying this old lady.  Of course, we had to make sure she didn't throw out a hip or two but this old bat rocked the fuck out of the scene.  She had her tiny asshole plugged with fat cock.  She barfed up whatever old people eat and she got slapped around like a Russian gymnast who didn't stick the landing.  Enjoy... this is a great one that the whole team is proud of!"
657,Facial Abuse: Lilly,facialabuse.com,2004,"<a href=""https://www.iafd.com/title.rme/id=2f1c5437-7a4e-4b62-b226-f4135e49b198"" target=""_blank"">https://www.iafd.com/title.rme/id=2f1c5437-7a4e-4b62-b226-f4135e49b198</a>","Now this is a piece of ass. This is Lilly's first video shoot, & I'm the lucky guy who gets to break her tight asshole on camera. I fuck her, fuck her tight ass, & shoot a huge load on her beautiful face. Look at her pull away as my cum slaps her cheek."
658,Facial Abuse: Lilly Ligotage,facialabuse.com,2014,"<a href=""https://www.iafd.com/title.rme/id=fe7c3ab7-4cfb-469b-aa5f-bcb1df2f9491"" target=""_blank"">https://www.iafd.com/title.rme/id=fe7c3ab7-4cfb-469b-aa5f-bcb1df2f9491</a>","Rarely do I give props to whores, but this one deserves kudos. Pauly and Gio went apeshit on this pig and she took 100% of it like a mother fucking boss. This was some intense porn right here! Both guys were aggro level 10. The slaps were fucking HARD. The throat punishment was HARDCORE and the anal sex was SEVERE. This 5 foot petite spinner took it all... ALL!!! We shot some great anal and double penetration. I love it when these tiny fucks have their asses open for business! Hands down this was one to raise the bar even higher. There's hardcore porn and then there's FaceFucking.com. We're the real deal. This is the proof."
659,Facial Abuse: Lily Krystal,facialabuse.com,2015,"<a href=""https://www.iafd.com/title.rme/id=d572c337-bf6f-49d8-ba5c-2f15a76c5cdd"" target=""_blank"">https://www.iafd.com/title.rme/id=d572c337-bf6f-49d8-ba5c-2f15a76c5cdd</a>","Things go from bad to worse in the blink of an eye. Meet emo goth disaster, Lily Krystal. She's had a rough life... like real fucked up and it caused her to become a complete introvert. She has trouble making eye contact and speaks very softly. She's damaged goods, dude. Worst thing she could have ever done was show up here. We took that and ran. We broke this whore big time. I can't imagine the depths at which her self esteem must be now. But I will say this... she's a true submissive whore and we need more bitches like this. They know their holes are here to be used by men. We did just that!"
660,Facial Abuse: Lily Lovecraft,facialabuse.com,2016,"<a href=""https://www.iafd.com/title.rme/id=980b29ac-a755-414f-ac38-86124bccfb38"" target=""_blank"">https://www.iafd.com/title.rme/id=980b29ac-a755-414f-ac38-86124bccfb38</a>","Lily Lovecraft is about this life. She's a 27 year old Vegas brothel hooker who trying to kick her whore career up a notch and do some internet porn. The kind of stuff we film is the kind of stuff that she's personally into. Why some skank would be into this is anyone's guess, but after hearing about her less than friendly home life, it's no wonder she set out on the path she did. Bootleg and Harker knocked this blonde bimbo around pretty good. All holes were open for business and trust me when I say that she left with all of them blown out. We swung for the fences and hit a home run."
661,Facial Abuse: Lily Lovecraft 2,facialabuse.com,2016,"<a href=""https://www.iafd.com/title.rme/id=4090905b-817b-47ef-ad21-f6498681aa7a"" target=""_blank"">https://www.iafd.com/title.rme/id=4090905b-817b-47ef-ad21-f6498681aa7a</a>","Somehow this cunt weaseled her way back. Granted, she's an obedient bitch that does what she's told but she's had almost an entire fucking year to practice deep throat and it appears she spent that time just making herself look more strung out and like utter garbage. We spent the night training her throat to receive cock. Funny thing is, her asshole takes hard cock better than her mouth hole. With that being said, all holes were used up. Her little butt hole looked great getting split in half by rock hard meat. At the end, the guys rewarded her effort by dumping big loads all over her road worn face."
662,Facial Abuse: Lindsay,facialabuse.com,2005,"<a href=""https://www.iafd.com/title.rme/id=6802c90a-a92f-40b7-9ae0-70758ae520b3"" target=""_blank"">https://www.iafd.com/title.rme/id=6802c90a-a92f-40b7-9ae0-70758ae520b3</a>",Lindsay was afraid to work with us because of how extreme we are. But deep down inside she's a little horny freak who wanted to get roughed up and roughed up good. She never had a cock in her ass before so we drilled that tight little dirt box of hers. Then we stuffed both her holes for her first ever DP. She loved it. She took two cocks like a pro and then 3 of us nutted all over her face.
663,Facial Abuse: Lindsay Layne,facialabuse.com,2005,"<a href=""https://www.iafd.com/title.rme/id=44126aa9-62ba-4b22-9cf5-15e87901e5e6"" target=""_blank"">https://www.iafd.com/title.rme/id=44126aa9-62ba-4b22-9cf5-15e87901e5e6</a>","Lindsay Layne thought she was ready for us because she shot for some guys out in LA. Well she wasn't. Apparently us Jersey Boys bring it a lot harder than the LA dudes. We flipped her upside down and she got her throat drilled from an inverted position. Then she got her ass gaped and it looked like a rose petal that was stepped on and shot by a 9mm. The face fucking was relentless, as well as the ass drilling. Then we topped off the whore with 3 loads to her cute face."
664,Facial Abuse: Lizzie,facialabuse.com,2006,"<a href=""https://www.iafd.com/title.rme/id=75113c59-cc97-4eee-a6d8-db971e92cf89"" target=""_blank"">https://www.iafd.com/title.rme/id=75113c59-cc97-4eee-a6d8-db971e92cf89</a>","Lizzie was a nut case for sure. We began the scene by smacking her around like we were tenderizing a piece of beef. Once she was thoroughly smacked around she was ready for the onslaught the cocks would do to her throat. Once her throat was pulverised, and she was covered in slop, the cocks jammed her pussy until everytime she came her pussy would squirt like a fountain. It's amazing how some girls can only get off when they are getting smacked around and choked during sex, but Lizzie's pussy definitely left satisfied."
665,Facial Abuse: Lizzy London,facialabuse.com,2011,"<a href=""https://www.iafd.com/title.rme/id=91730a72-c274-456b-8761-05162ab66a6d"" target=""_blank"">https://www.iafd.com/title.rme/id=91730a72-c274-456b-8761-05162ab66a6d</a>","This is a typical whore degrading herself for a payday. It's the same story: crap goes wrong with their car or their boyfriend needs money for a new stupid sounding exhaust for his wigger mobile, and the next thing you know she is puking on an 8 penis and crying in the bathroom over how she's only doing this because she has to. Blah blah blah. You're a stupid whore with a load on your face. This is what you do. I don't need to hear all your bs in the process. Just spread your legs, open your mouth, and realize that you're a whore. The sooner you realize this, the sooner I can be home playing Xbox."
666,Facial Abuse: Logan Sinns,facialabuse.com,2014,"<a href=""https://www.iafd.com/title.rme/id=7a2c37aa-affd-4511-8f5f-3ee4c51da7e4"" target=""_blank"">https://www.iafd.com/title.rme/id=7a2c37aa-affd-4511-8f5f-3ee4c51da7e4</a>","Whew... top shelf cunt this week, baby! Logan Sinns is a fresh face petite piece of slender pussy looking to make her way to stardom in the porn game. Today, it's game over. While the few previous experiences selling pussy may have been positive, today took a turn for the worst. Tiny throats and big cocks rarely make a happy meeting... especially when it's being stuffed down a belly like a jack hammer. What I'm saying is that tiny Logan Sinns had a tough time being manhandled by big dick slinger, Pauly Harker. After the tonsil bashing, Pauly bent her over and fucked her silly style. This pig was screaming. It was then she let on about her early sexual experiences. I don't want to give away the story... but it's a tale of sadness and woe. The cherry on top... a nice frosty facial with a spoon fed cum ending. Amazing!!!"
667,Facial Abuse: Logan Sinns 2,facialabuse.com,2014,"<a href=""https://www.iafd.com/title.rme/id=03aa7247-13be-4c8d-b583-d42818a0f4f3"" target=""_blank"">https://www.iafd.com/title.rme/id=03aa7247-13be-4c8d-b583-d42818a0f4f3</a>","Well... we pretty much hit a homerun today. First off, Logan is really cute... like baby fresh cute. She knows she shouldn't be here. She could be anywhere else selling that pussy. Instead, she's down on her knees being treated like a real piece of shit by Pauly Harker and Tommy Pistol. Regardless, her return visit is triumphant. She did things she never did before... like take on two cocks at once. She even had that pretty little cunt stuffed with both hard dicks at the same time. Fucking awesome, right? The hits didn't stop there... the throat fucking was relentless and messy. Barf emptied from her belly in epic amounts.  This shit is extreme from start to finish. Everything is jam packed with top notch action. Humiliation level 10!"
668,Facial Abuse: Logan Sinns 3,facialabuse.com,2015,"<a href=""https://www.iafd.com/title.rme/id=c63e9f43-57bc-426b-8b93-b35390221118"" target=""_blank"">https://www.iafd.com/title.rme/id=c63e9f43-57bc-426b-8b93-b35390221118</a>","Today, we ripped what's remaining of Logan Sinn's dignity from her with humiliation and degradation. Putting such an innocent sweet heart through the horrors she endured takes a special kind of fucked up person. We have a team of them. Today, we all ganged up on this lost soul and shown her the light... that being she is nothing more than a group of holes to make men cum. The reality floored her. Tears ran down her face as that knot in her throat grew larger with each deep pumping thrust of strange cock. This is the type of scene that after you watch, you burn your computer and go to church. Yeah... it's that awesome!"
669,Facial Abuse: Lola Summers,facialabuse.com,2014,"<a href=""https://www.iafd.com/title.rme/id=993800b9-98d4-478c-8398-0b41e6ba6789"" target=""_blank"">https://www.iafd.com/title.rme/id=993800b9-98d4-478c-8398-0b41e6ba6789</a>","I always say... never judge a book by it's cover. At first glance, 104 pound spinner Lola Summers looks like she'd have one foot out the door when it comes to this type of shoot... but this dumb twat actually proved me wrong. She hung in there like a big girl, took her lick and kept on keeping on. Good for you whore! Granted, she's pretty dumb... I'm talking zero personality, but fuck it. She has a twat, that's all she needs to get by in this world, right? I don't know how small head accommodated those big cocks but she found a way to make them fit. Impressive, really. Each guy had fun with this one. It's like Christmas morning when a fresh piece of cooz comes to shoot."
670,Facial Abuse: Lola Vaughn,facialabuse.com,2015,"<a href=""https://www.iafd.com/title.rme/id=397e513a-99de-4de2-b8aa-693ae26bec2b"" target=""_blank"">https://www.iafd.com/title.rme/id=397e513a-99de-4de2-b8aa-693ae26bec2b</a>","This is why Jimmy is not a betting man. I honestly thought Lola Vaughn was going to rock this scene. As it turns out, all she did was come in and waste everyone's time and tap out. Before she threw in the towel, both guys had their way with her pretty throat, though. This is as real as it gets. This isn't for everyone, and it's definitely not for Lola Vaughn... but it's both hot and fun to watch her crash and burn!"
671,Facial Abuse: Lucky Starr,facialabuse.com,2013,"<a href=""https://www.iafd.com/title.rme/id=e0830923-6101-452e-8c9a-3f4c48278efa"" target=""_blank"">https://www.iafd.com/title.rme/id=e0830923-6101-452e-8c9a-3f4c48278efa</a>","Lucky Starr is a 40 year old up and coming porn star. Yeah, you heard that right... 40 years old. This ancient has never done anything like we do... and after her experience, I wouldn't doubt she just buys some life insurance and waits for grim death to take her in the night. In other words, she did not enjoy a single moment of this. That's bonerific music to my ears! She even had a gaggle of her cunt friends tell her not to work for us... idiots like Mia Rider, Gaia, Mika Tan, Amai Liu and every other Asian fuck we've shot. She didn't listen, and because of that here's one more dumb cunt we can add to our line-up. Today was truly a day of firsts for Lucky. Today she took a cock in her ass and pussy at the same time for the very first time EVER. We're not talking just on video, we're talking EVER. All of us here at FaceFucking.com really love this scene and we know you will, too!"
672,Facial Abuse: Lucrezia,facialabuse.com,2012,"<a href=""https://www.iafd.com/title.rme/id=2e621bad-2112-4669-8c73-d42802713c82"" target=""_blank"">https://www.iafd.com/title.rme/id=2e621bad-2112-4669-8c73-d42802713c82</a>","This bitch is what we call Model Hot... meaning if she weren't so stupid, she could make money posing in magazines with her clothes on instead of being on her knees chugging down Bootleg's cock.  Weighing in at a mere 103 pounds, this hottie claimed to be making this video as a life experience... something she can write about in her book.  Since when do whores know how to read and write anyway?  If this book ever does come out, I hope there's a chapter about me and how fucking awesome I am!  Oh... and get this.  Prior to our shoot, she's only been with 3 other people.  You know she never barfed on a cock before.  Today is a day we make her into a woman."
673,Facial Abuse: Lucy Levon,facialabuse.com,2011,"<a href=""https://www.iafd.com/title.rme/id=d8dd2abf-5fe4-40e6-9a0e-9a476d4651a9"" target=""_blank"">https://www.iafd.com/title.rme/id=d8dd2abf-5fe4-40e6-9a0e-9a476d4651a9</a>","Lucy Levon is a hot Asian piece of ass who should be playing piano or mastering mathematics, but instead... she's on her knees getting her face fucked like the countless whores before her. Why is she here?  That's the million dollar question. As it turns out, her husband is a huge fan of the website (and rightfully so!). He practices all our moves on his bitch and considered it an honor to have us destroy her. Thanks buddy! Anyway, about this whore. This chick is freaking amazing. For being a half pint, she sure can take a beating.  She took Red's cock balls deep even after the vomit started spewing. I even made her eat her own snot. How fucking gross is that? After the shoot, she left knowing she fulfilled a long time dream of her husband's. Glad we could help!"
674,Facial Abuse: Luna Panda,facialabuse.com,2016,"<a href=""https://www.iafd.com/title.rme/id=14cfc7a2-b688-4726-b909-1ee977326c84"" target=""_blank"">https://www.iafd.com/title.rme/id=14cfc7a2-b688-4726-b909-1ee977326c84</a>","With a name like Luna Panda, you know she's gonna be a beast. A pig, possibly? Whatever she is... fat body was put through the wringer tonight. I had a good laugh when she told me she was great at deep throat and she wouldn't get sick... and then tossed her cookies almost immediately. Then, her chunky ass hole was ripped open. I gotta give her credit, she bit her lip and took the pounding like a real whore. We wore her down as the shoot progressed and she was uttering woman hating jibber jabber... saying things like women are sub-human and just holes to make men cum. I can't say I disagree."
675,Facial Abuse: Lya Pink,facialabuse.com,2012,"<a href=""https://www.iafd.com/title.rme/id=d10988dc-0c92-4c64-ad30-33d6b89d53e0"" target=""_blank"">https://www.iafd.com/title.rme/id=d10988dc-0c92-4c64-ad30-33d6b89d53e0</a>","Lya Pink is a 30 something wanna-be porn star. Truth be told, she's actually pretty cute despite the fact that she resembles a college aged Larry Bird. On the plus side, she also kinda looks like a younger Nina Hartley... without the butt. Lya has zero ass. She looks like a pair of sticks with tits. You guys know me, I keep it real. I call it like I see it and even though I bag on these bitches, I also give credit where credit is due. Lya was a pleasure to work with. It's been my experience that once a whore reaches a certain age, they turn sour and their souls are blackened from years of mistreatment. This slut was different. She was all smiles and giggles. She loves getting put in her place. I guess that's why she got that stupid masochism tattoo on her back. She has been permanently stamped as piece of shit whore... may as well roll with it now, right?  Die hard facial abuse fans are gonna love this scene. There is more barf than the last 30 scenes combined. This skank was a total puke faucet. Red and Harker raved about that tight coin slot of a pussy, too. It was so small... their cocks filled it just right. Enjoy, my friends... this one is a real treat!"
676,Facial Abuse: Lyla Kennedy,facialabuse.com,2014,"<a href=""https://www.iafd.com/title.rme/id=8e6a6390-7753-41b6-be21-9131ad88f4f3"" target=""_blank"">https://www.iafd.com/title.rme/id=8e6a6390-7753-41b6-be21-9131ad88f4f3</a>","Lyla Kennedy is a derpy, goofy broad with daddy issues. She's actually a fan of our work (who can blame her, right?). Today, she went from being a spectator to the star. It was not as easy as she thought. Having a cock rammed down your throat at 90 miles per hour has got to be tough. Listen to her gasp for air in between cock pumps. It's pretty fucking intense. Next, her pretty shaved slit was destroyed by Pauly Harker's big knob cock. I think he obliterated her cervix. She didn't care because during that thrashing, she came like 4 times. I'm telling you man... some chicks dig this shit."
677,Facial Abuse: Lyla Kennedy 2,facialabuse.com,2014,"<a href=""https://www.iafd.com/title.rme/id=0616e244-81af-4ed8-9194-791c842430a0"" target=""_blank"">https://www.iafd.com/title.rme/id=0616e244-81af-4ed8-9194-791c842430a0</a>","Lyla Kennedy is back for round two and we all stepped it up. For starters, her asshole was up for grabs today... and let me tell you, this is some seriously hard anal aka painal. Since it's only been a month since her first visit, there wasn't anything to really catch up on so we got right to business. Pauly punished her tiny throat hole with his massive meat missile. He pumped her nice and deep. She's been practicing her deep throating and it shows. All the way down to the ball sack her face went. Plus, even more barf than the first time. She ended up gushing tons of stomach skank from her throat hole towards the end! The cherry on top, though... the butt fucking. She's only done anal 4 times in her life but you'd think she takes it in the seat daily with the way she handled her business. She's about that life. Great scene. Enjoy!"
